Filename,Sign
00303.ppm,Speed limit (60km/h)
00304.ppm,Dangerous curve to the right
00305.ppm,No entry
00306.ppm,Go straight or right
00307.ppm,Right-of-way at the next intersection
00308.ppm,Speed limit (100km/h)
00309.ppm,General caution
00310.ppm,Priority road
00311.ppm,Slippery road
00312.ppm,Yield
00313.ppm,Stop
00314.ppm,End of speed limit (80km/h)
00315.ppm,No passing
00316.ppm,No vechiles
00317.ppm,Speed limit (80km/h)
00318.ppm,Speed limit (100km/h)
00319.ppm,Speed limit (100km/h)
00320.ppm,Speed limit (120km/h)
00321.ppm,Right-of-way at the next intersection
00322.ppm,Speed limit (70km/h)
00323.ppm,Speed limit (50km/h)
00324.ppm,Keep right
00325.ppm,Dangerous curve to the right
00326.ppm,Speed limit (100km/h)
00327.ppm,End of speed limit (80km/h)
00328.ppm,Road work
00329.ppm,Dangerous curve to the right
00330.ppm,Priority road
00331.ppm,Ahead only
00332.ppm,Priority road
00333.ppm,Speed limit (50km/h)
00334.ppm,End of no passing by vechiles over 3.5 metric tons
00335.ppm,Yield
00336.ppm,Vechiles over 3.5 metric tons prohibited
00337.ppm,Vechiles over 3.5 metric tons prohibited
00338.ppm,General caution
00339.ppm,Speed limit (120km/h)
00340.ppm,Ahead only
00341.ppm,Road work
00342.ppm,Speed limit (100km/h)
00343.ppm,Right-of-way at the next intersection
00344.ppm,Speed limit (100km/h)
00345.ppm,Speed limit (50km/h)
00346.ppm,Bumpy road
00347.ppm,Yield
00348.ppm,No passing
00349.ppm,Speed limit (50km/h)
00350.ppm,Speed limit (60km/h)
00351.ppm,Speed limit (60km/h)
00352.ppm,Speed limit (50km/h)
00353.ppm,Yield
00354.ppm,Bumpy road
00355.ppm,No passing for vechiles over 3.5 metric tons
00356.ppm,Bumpy road
00357.ppm,No passing
00358.ppm,Beware of ice/snow
00359.ppm,Speed limit (50km/h)
00360.ppm,No passing for vechiles over 3.5 metric tons
00361.ppm,Speed limit (80km/h)
00362.ppm,Speed limit (50km/h)
00363.ppm,No passing for vechiles over 3.5 metric tons
00364.ppm,End of speed limit (80km/h)
00365.ppm,Right-of-way at the next intersection
00366.ppm,Speed limit (30km/h)
00367.ppm,Speed limit (120km/h)
00368.ppm,Turn right ahead
00369.ppm,Vechiles over 3.5 metric tons prohibited
00370.ppm,Speed limit (100km/h)
00371.ppm,Speed limit (50km/h)
00372.ppm,Speed limit (60km/h)
00373.ppm,Slippery road
00374.ppm,End of no passing
00375.ppm,No passing
00376.ppm,Speed limit (80km/h)
00377.ppm,No entry
00378.ppm,Speed limit (120km/h)
00379.ppm,No vechiles
00380.ppm,Children crossing
00381.ppm,General caution
00382.ppm,No passing for vechiles over 3.5 metric tons
00383.ppm,Speed limit (70km/h)
00384.ppm,Speed limit (100km/h)
00385.ppm,Speed limit (50km/h)
00386.ppm,Speed limit (80km/h)
00387.ppm,Yield
00388.ppm,No passing
00389.ppm,No passing for vechiles over 3.5 metric tons
00390.ppm,Speed limit (50km/h)
00391.ppm,Keep right
00392.ppm,Speed limit (30km/h)
00393.ppm,Road work
00394.ppm,Speed limit (50km/h)
00395.ppm,No vechiles
00396.ppm,Go straight or right
00397.ppm,Right-of-way at the next intersection
00398.ppm,Keep right
00399.ppm,Road narrows on the right
00400.ppm,Beware of ice/snow
00401.ppm,Speed limit (30km/h)
00402.ppm,Speed limit (50km/h)
00403.ppm,Keep right
00404.ppm,Speed limit (60km/h)
00405.ppm,Right-of-way at the next intersection
00406.ppm,End of no passing by vechiles over 3.5 metric tons
00407.ppm,Yield
00408.ppm,Speed limit (50km/h)
00409.ppm,Speed limit (60km/h)
00410.ppm,Speed limit (30km/h)
00411.ppm,Turn left ahead
00412.ppm,No entry
00413.ppm,Yield
00414.ppm,No passing
00415.ppm,General caution
00416.ppm,Priority road
00417.ppm,Speed limit (30km/h)
00418.ppm,No passing for vechiles over 3.5 metric tons
00419.ppm,No passing
00420.ppm,No passing
00421.ppm,No vechiles
00422.ppm,Turn right ahead
00423.ppm,No entry
00424.ppm,Stop
00425.ppm,Roundabout mandatory
00426.ppm,Right-of-way at the next intersection
00427.ppm,Keep right
00428.ppm,Speed limit (100km/h)
00429.ppm,Beware of ice/snow
00430.ppm,End of speed limit (80km/h)
00431.ppm,Keep right
00432.ppm,No entry
00433.ppm,Keep left
00434.ppm,Priority road
00435.ppm,End of speed limit (80km/h)
00436.ppm,No vechiles
00437.ppm,No passing
00438.ppm,Keep right
00439.ppm,Stop
00440.ppm,Children crossing
00441.ppm,Speed limit (70km/h)
00442.ppm,Road work
00443.ppm,Road work
00444.ppm,Keep right
00445.ppm,Road work
00446.ppm,Speed limit (80km/h)
00447.ppm,Keep right
00448.ppm,Speed limit (80km/h)
00449.ppm,Priority road
00450.ppm,Priority road
00451.ppm,Speed limit (120km/h)
00452.ppm,Speed limit (30km/h)
00453.ppm,General caution
00454.ppm,Pedestrians
00455.ppm,End of speed limit (80km/h)
00456.ppm,Speed limit (80km/h)
00457.ppm,Keep right
00458.ppm,Right-of-way at the next intersection
00459.ppm,Traffic signals
00460.ppm,Speed limit (70km/h)
00461.ppm,Right-of-way at the next intersection
00462.ppm,Children crossing
00463.ppm,Road narrows on the right
00464.ppm,No passing for vechiles over 3.5 metric tons
00465.ppm,Bicycles crossing
00466.ppm,Yield
00467.ppm,Dangerous curve to the left
00468.ppm,Speed limit (70km/h)
00469.ppm,Slippery road
00470.ppm,No passing
00471.ppm,Speed limit (50km/h)
00472.ppm,Right-of-way at the next intersection
00473.ppm,Speed limit (100km/h)
00474.ppm,Priority road
00475.ppm,Dangerous curve to the right
00476.ppm,Speed limit (30km/h)
00477.ppm,Keep right
00478.ppm,Yield
00479.ppm,End of speed limit (80km/h)
00480.ppm,Priority road
00481.ppm,Yield
00482.ppm,Traffic signals
00483.ppm,Ahead only
00484.ppm,No entry
00485.ppm,No passing for vechiles over 3.5 metric tons
00486.ppm,Right-of-way at the next intersection
00487.ppm,Right-of-way at the next intersection
00488.ppm,Right-of-way at the next intersection
00489.ppm,Right-of-way at the next intersection
00490.ppm,Turn right ahead
00491.ppm,Speed limit (30km/h)
00492.ppm,Speed limit (30km/h)
00493.ppm,Road work
00494.ppm,Roundabout mandatory
00495.ppm,Speed limit (60km/h)
00496.ppm,No passing
00497.ppm,No passing
00498.ppm,Speed limit (80km/h)
00499.ppm,Speed limit (100km/h)
00500.ppm,Ahead only
00501.ppm,Speed limit (100km/h)
00502.ppm,Keep right
00503.ppm,End of speed limit (80km/h)
00504.ppm,General caution
00505.ppm,Speed limit (50km/h)
00506.ppm,No passing for vechiles over 3.5 metric tons
00507.ppm,Keep right
00508.ppm,Road work
00509.ppm,Speed limit (70km/h)
00510.ppm,Speed limit (30km/h)
00511.ppm,Yield
00512.ppm,Keep right
00513.ppm,Children crossing
00514.ppm,Ahead only
00515.ppm,Stop
00516.ppm,No passing
00517.ppm,Priority road
00518.ppm,Priority road
00519.ppm,No entry
00520.ppm,Speed limit (80km/h)
00521.ppm,Right-of-way at the next intersection
00522.ppm,No vechiles
00523.ppm,No passing
00524.ppm,Yield
00525.ppm,No passing for vechiles over 3.5 metric tons
00526.ppm,Right-of-way at the next intersection
00527.ppm,Children crossing
00528.ppm,Slippery road
00529.ppm,No passing for vechiles over 3.5 metric tons
00530.ppm,End of speed limit (80km/h)
00531.ppm,Speed limit (120km/h)
00532.ppm,Priority road
00533.ppm,Speed limit (30km/h)
00534.ppm,Go straight or right
00535.ppm,Speed limit (70km/h)
00536.ppm,No passing
00537.ppm,Slippery road
00538.ppm,Speed limit (120km/h)
00539.ppm,Speed limit (70km/h)
00540.ppm,Speed limit (60km/h)
00541.ppm,Speed limit (30km/h)
00542.ppm,Bumpy road
00543.ppm,Speed limit (100km/h)
00544.ppm,Children crossing
00545.ppm,Turn left ahead
00546.ppm,Bumpy road
00547.ppm,Speed limit (80km/h)
00548.ppm,Keep left
00549.ppm,Go straight or left
00550.ppm,Keep right
00551.ppm,Speed limit (60km/h)
00552.ppm,Priority road
00553.ppm,Speed limit (80km/h)
00554.ppm,Go straight or right
00555.ppm,Yield
00556.ppm,Keep right
00557.ppm,Priority road
00558.ppm,Right-of-way at the next intersection
00559.ppm,Keep right
00560.ppm,Turn right ahead
00561.ppm,Speed limit (30km/h)
00562.ppm,Speed limit (100km/h)
00563.ppm,Speed limit (30km/h)
00564.ppm,Speed limit (80km/h)
00565.ppm,Speed limit (70km/h)
00566.ppm,General caution
00567.ppm,No entry
00568.ppm,Speed limit (80km/h)
00569.ppm,Yield
00570.ppm,Speed limit (30km/h)
00571.ppm,Yield
00572.ppm,Speed limit (30km/h)
00573.ppm,Right-of-way at the next intersection
00574.ppm,Keep right
00575.ppm,Speed limit (60km/h)
00576.ppm,Dangerous curve to the right
00577.ppm,Speed limit (30km/h)
00578.ppm,Speed limit (30km/h)
00579.ppm,Speed limit (50km/h)
00580.ppm,Speed limit (100km/h)
00581.ppm,No passing
00582.ppm,Priority road
00583.ppm,Speed limit (30km/h)
00584.ppm,Speed limit (80km/h)
00585.ppm,Priority road
00586.ppm,Go straight or right
00587.ppm,Yield
00588.ppm,Speed limit (120km/h)
00589.ppm,Road work
00590.ppm,Speed limit (80km/h)
00591.ppm,Priority road
00592.ppm,Priority road
00593.ppm,Speed limit (50km/h)
00594.ppm,Keep right
00595.ppm,Children crossing
00596.ppm,Speed limit (100km/h)
00597.ppm,Yield
00598.ppm,Speed limit (30km/h)
00599.ppm,No passing
00600.ppm,Speed limit (60km/h)
00601.ppm,Priority road
00602.ppm,Speed limit (60km/h)
00603.ppm,Keep right
00604.ppm,Yield
00605.ppm,Speed limit (30km/h)
00606.ppm,Speed limit (50km/h)
00607.ppm,Yield
00608.ppm,Vechiles over 3.5 metric tons prohibited
00609.ppm,Speed limit (70km/h)
00610.ppm,No passing for vechiles over 3.5 metric tons
00611.ppm,Speed limit (30km/h)
00612.ppm,Yield
00613.ppm,General caution
00614.ppm,Speed limit (20km/h)
00615.ppm,Children crossing
00616.ppm,Speed limit (100km/h)
00617.ppm,Priority road
00618.ppm,Speed limit (80km/h)
00619.ppm,No entry
00620.ppm,Speed limit (70km/h)
00621.ppm,Speed limit (100km/h)
00622.ppm,Vechiles over 3.5 metric tons prohibited
00623.ppm,Speed limit (30km/h)
00624.ppm,Speed limit (50km/h)
00625.ppm,Wild animals crossing
00626.ppm,General caution
00627.ppm,Right-of-way at the next intersection
00628.ppm,Speed limit (120km/h)
00629.ppm,No passing for vechiles over 3.5 metric tons
00630.ppm,Speed limit (80km/h)
00631.ppm,Wild animals crossing
00632.ppm,Speed limit (60km/h)
00633.ppm,Speed limit (60km/h)
00634.ppm,No passing
00635.ppm,Speed limit (80km/h)
00636.ppm,Speed limit (70km/h)
00637.ppm,Road narrows on the right
00638.ppm,Speed limit (120km/h)
00639.ppm,No vechiles
00640.ppm,Dangerous curve to the left
00641.ppm,Speed limit (100km/h)
00642.ppm,End of all speed and passing limits
00643.ppm,End of no passing
00644.ppm,Road work
00645.ppm,General caution
00646.ppm,Keep right
00647.ppm,General caution
00648.ppm,Speed limit (60km/h)
00649.ppm,Speed limit (50km/h)
00650.ppm,Speed limit (100km/h)
00651.ppm,Slippery road
00652.ppm,Keep right
00653.ppm,Priority road
00654.ppm,No vechiles
00655.ppm,No passing
00656.ppm,Speed limit (100km/h)
00657.ppm,Ahead only
00658.ppm,Speed limit (70km/h)
00659.ppm,Stop
00660.ppm,Speed limit (50km/h)
00661.ppm,Traffic signals
00662.ppm,Speed limit (50km/h)
00663.ppm,Turn right ahead
00664.ppm,Priority road
00665.ppm,Speed limit (50km/h)
00666.ppm,Speed limit (60km/h)
00667.ppm,Speed limit (30km/h)
00668.ppm,Keep right
00669.ppm,Speed limit (100km/h)
00670.ppm,Road work
00671.ppm,Road work
00672.ppm,Speed limit (60km/h)
00673.ppm,No entry
00674.ppm,Dangerous curve to the right
00675.ppm,Speed limit (30km/h)
00676.ppm,Roundabout mandatory
00677.ppm,Dangerous curve to the right
00678.ppm,Speed limit (50km/h)
00679.ppm,Speed limit (120km/h)
00680.ppm,Speed limit (30km/h)
00681.ppm,Speed limit (100km/h)
00682.ppm,Speed limit (70km/h)
00683.ppm,Speed limit (70km/h)
00684.ppm,Speed limit (70km/h)
00685.ppm,Speed limit (50km/h)
00686.ppm,Turn left ahead
00687.ppm,Speed limit (30km/h)
00688.ppm,Speed limit (100km/h)
00689.ppm,Speed limit (80km/h)
00690.ppm,Speed limit (70km/h)
00691.ppm,Speed limit (60km/h)
00692.ppm,Road work
00693.ppm,No vechiles
00694.ppm,Traffic signals
00695.ppm,No passing for vechiles over 3.5 metric tons
00696.ppm,General caution
00697.ppm,Speed limit (120km/h)
00698.ppm,Speed limit (100km/h)
00699.ppm,No passing for vechiles over 3.5 metric tons
00700.ppm,Traffic signals
00701.ppm,Keep right
00702.ppm,Speed limit (70km/h)
00703.ppm,Bicycles crossing
00704.ppm,Speed limit (100km/h)
00705.ppm,General caution
00706.ppm,Speed limit (60km/h)
00707.ppm,Ahead only
00708.ppm,Bicycles crossing
00709.ppm,Keep right
00710.ppm,Speed limit (100km/h)
00711.ppm,Go straight or right
00712.ppm,Children crossing
00713.ppm,Road work
00714.ppm,Right-of-way at the next intersection
00715.ppm,No passing for vechiles over 3.5 metric tons
00716.ppm,Priority road
00717.ppm,Speed limit (20km/h)
00718.ppm,Right-of-way at the next intersection
00719.ppm,No passing for vechiles over 3.5 metric tons
00720.ppm,Speed limit (30km/h)
00721.ppm,Right-of-way at the next intersection
00722.ppm,Road work
00723.ppm,Right-of-way at the next intersection
00724.ppm,Speed limit (100km/h)
00725.ppm,No entry
00726.ppm,Speed limit (60km/h)
00727.ppm,Speed limit (30km/h)
00728.ppm,Speed limit (120km/h)
00729.ppm,Bumpy road
00730.ppm,Speed limit (120km/h)
00731.ppm,General caution
00732.ppm,Keep right
00733.ppm,No passing for vechiles over 3.5 metric tons
00734.ppm,Priority road
00735.ppm,Stop
00736.ppm,Vechiles over 3.5 metric tons prohibited
00737.ppm,Road work
00738.ppm,Speed limit (120km/h)
00739.ppm,Yield
00740.ppm,End of all speed and passing limits
00741.ppm,No entry
00742.ppm,Yield
00743.ppm,Speed limit (100km/h)
00744.ppm,Ahead only
00745.ppm,Speed limit (20km/h)
00746.ppm,Speed limit (80km/h)
00747.ppm,Keep right
00748.ppm,Speed limit (20km/h)
00749.ppm,Speed limit (80km/h)
00750.ppm,Speed limit (100km/h)
00751.ppm,Pedestrians
00752.ppm,No passing
00753.ppm,Speed limit (120km/h)
00754.ppm,Speed limit (30km/h)
00755.ppm,Keep right
00756.ppm,Speed limit (80km/h)
00757.ppm,Speed limit (80km/h)
00758.ppm,Yield
00759.ppm,Speed limit (80km/h)
00760.ppm,Speed limit (120km/h)
00761.ppm,Beware of ice/snow
00762.ppm,Speed limit (30km/h)
00763.ppm,Keep left
00764.ppm,Road narrows on the right
00765.ppm,No passing
00766.ppm,Keep right
00767.ppm,End of speed limit (80km/h)
00768.ppm,Right-of-way at the next intersection
00769.ppm,Yield
00770.ppm,Speed limit (80km/h)
00771.ppm,Speed limit (100km/h)
00772.ppm,Wild animals crossing
00773.ppm,No passing
00774.ppm,End of no passing
00775.ppm,Speed limit (30km/h)
00776.ppm,General caution
00777.ppm,Keep right
00778.ppm,Speed limit (80km/h)
00779.ppm,Bicycles crossing
00780.ppm,Speed limit (70km/h)
00781.ppm,Traffic signals
00782.ppm,Speed limit (30km/h)
00783.ppm,No entry
00784.ppm,Speed limit (100km/h)
00785.ppm,Right-of-way at the next intersection
00786.ppm,General caution
00787.ppm,Keep right
00788.ppm,Beware of ice/snow
00789.ppm,Dangerous curve to the right
00790.ppm,Go straight or left
00791.ppm,Vechiles over 3.5 metric tons prohibited
00792.ppm,Speed limit (30km/h)
00793.ppm,Dangerous curve to the right
00794.ppm,Keep right
00795.ppm,Stop
00796.ppm,Turn left ahead
00797.ppm,Speed limit (60km/h)
00798.ppm,Speed limit (100km/h)
00799.ppm,Turn left ahead
00800.ppm,Keep right
00801.ppm,No entry
00802.ppm,Yield
00803.ppm,Traffic signals
00804.ppm,Road work
00805.ppm,No entry
00806.ppm,Turn left ahead
00807.ppm,Priority road
00808.ppm,Speed limit (100km/h)
00809.ppm,Wild animals crossing
00810.ppm,Priority road
00811.ppm,Speed limit (120km/h)
00812.ppm,No passing for vechiles over 3.5 metric tons
00813.ppm,Road work
00814.ppm,No passing for vechiles over 3.5 metric tons
00815.ppm,Speed limit (50km/h)
00816.ppm,Speed limit (50km/h)
00817.ppm,Speed limit (80km/h)
00818.ppm,Speed limit (60km/h)
00819.ppm,General caution
00820.ppm,Speed limit (70km/h)
00821.ppm,Speed limit (30km/h)
00822.ppm,Speed limit (50km/h)
00823.ppm,End of all speed and passing limits
00824.ppm,Road work
00825.ppm,No passing
00826.ppm,Speed limit (70km/h)
00827.ppm,Speed limit (120km/h)
00828.ppm,Keep right
00829.ppm,No passing
00830.ppm,Speed limit (80km/h)
00831.ppm,Ahead only
00832.ppm,Go straight or right
00833.ppm,Bumpy road
00834.ppm,No entry
00835.ppm,No passing
00836.ppm,Speed limit (120km/h)
00837.ppm,No passing
00838.ppm,Speed limit (20km/h)
00839.ppm,Ahead only
00840.ppm,Speed limit (120km/h)
00841.ppm,Speed limit (80km/h)
00842.ppm,Keep left
00843.ppm,Speed limit (60km/h)
00844.ppm,Speed limit (70km/h)
00845.ppm,Wild animals crossing
00846.ppm,Speed limit (80km/h)
00847.ppm,Road narrows on the right
00848.ppm,Dangerous curve to the right
00849.ppm,Stop
00850.ppm,Go straight or right
00851.ppm,Keep right
00852.ppm,Beware of ice/snow
00853.ppm,No passing for vechiles over 3.5 metric tons
00854.ppm,No passing for vechiles over 3.5 metric tons
00855.ppm,Ahead only
00856.ppm,Keep right
00857.ppm,Road work
00858.ppm,Speed limit (70km/h)
00859.ppm,Speed limit (70km/h)
00860.ppm,Speed limit (70km/h)
00861.ppm,No passing
00862.ppm,No entry
00863.ppm,Yield
